PartcipantID:Final Try
InitialTimeStamp:23-12-10-952
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;83
1;0;1;24361
1;1;11;27618
1;1;2;49667
1;1;3;51773
1;1;1;61888
1;2;11;64975
1;2;2;87014
1;2;21;87551
1;2;3;89104
1;2;1;101386
1;3;11;104485
1;3;2;126531
1;3;21;126925
1;3;3;128684
1;3;1;136880
1;4;11;139983
1;4;2;162035
1;4;21;162697
1;4;3;164168
1;4;1;172451
1;5;11;175563
1;5;2;197616
1;5;21;198102
1;5;3;199705
1;5;1;209931
1;6;11;213014
1;6;2;235093
1;6;21;236606
1;6;3;237182
1;6;1;245454
1;7;11;248556
1;7;2;270621
1;7;21;272647
1;7;3;272724
1;7;1;280838
1;8;11;283912
1;8;2;305966
1;8;3;308090
1;8;4;316251
2;0;6;316379
