PartcipantID:ads
InitialTimeStamp:13-30-04-686
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;74
1;0;1;1460
1;1;11;19547
1;1;1;22483
1;2;1;23979
1;3;11;27047
1;3;1;28814
1;4;11;31875
1;4;1;34748
1;5;11;37830
1;5;1;41544
1;6;1;45011
1;7;1;46861
1;8;4;91183
2;0;6;91295
2;0;1;94377
2;1;1;98794
2;2;11;101894
2;2;1;105090
2;3;1;115096
2;4;1;118557
2;5;1;122034
2;6;1;123853
2;7;11;126934
2;7;1;131814
2;8;11;134893
2;8;4;138989
3;0;6;139128
