PartcipantID:ads
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;3;0;28;-1;23;(7,1)(7.5,4)(1,1)(0,4.5)(4.5,0.5)(2,5.5);Pause
1;2;3;0;28;-1;20;(1.5,5)(7.5,1.5)(6.5,5.5)(0.5,2)(3,0.5)(3.5,6);Pause
1;3;3;0;28;-1;42;(8,5)(0.5,2.5)(7,1)(5.5,6)(3,6)(0.5,5.5);Pause
1;4;3;0;28;-1;14;(1,2.5)(7.5,5.5)(7.5,2)(2,6)(4.5,0.5)(0,0.5);Pause
1;5;3;0;28;-1;43;(1,1)(0,6)(7,5)(7,1.5)(3.5,6)(3.5,0.5);Pause
1;6;3;0;28;-1;5;(1,1.5)(7,3)(6.5,0.5)(4.5,6)(1.5,4.5)(3,0.5);Pause
1;7;3;0;28;-1;37;(8,2.5)(6,5.5)(2.5,6)(0,2)(2.5,0.5)(0,5.5);Pause
1;8;3;0;28;-1;50;(7,1)(0,4)(7.5,5.5)(0.5,1)(2.5,6)(4.5,0.5);Pause
2;1;3;0;28;-1;28;(7.5,1)(5.5,5.5)(1.5,5.5)(0,1)(8,4.5)(3.5,0.5);Pause
2;2;3;0;28;-1;31;(1,3)(2.5,0.5)(6,5.5)(1.5,5.5)(8,4.5)(7,1.5);Pause
2;3;3;0;28;-1;45;(0.5,5)(7,1)(6.5,6)(0,2)(2.5,0.5)(6.5,3.5);Pause
2;4;3;0;28;-1;10;(7,1)(7,4.5)(1,1.5)(1,5)(4,0.5)(3.5,6);Pause
2;5;3;0;28;-1;51;(1,6)(1,1)(6.5,5.5)(7.5,1)(4.5,0.5)(4,6);Pause
2;6;3;0;28;-1;21;(1,6)(0.5,1)(7,5)(7.5,1.5)(0.5,3.5)(4,6);Pause
2;7;3;0;28;-1;1;(5.5,0.5)(8,2.5)(0.5,4.5)(2,0.5)(6,5.5)(8,5.5);Pause
2;8;3;0;28;-1;33;(8,4)(6.5,1)(0,3)(1,0.5)(1.5,5.5)(5.5,6);Pause
