PartcipantID:adsdas
InitialTimeStamp:19-25-49-289
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;85
1;0;1;2501
1;1;11;5724
1;1;1;18866
1;2;11;21957
1;2;1;23830
1;3;1;25289
1;4;11;28349
1;4;1;29683
1;5;11;32769
1;5;1;33986
1;6;11;37055
1;6;1;38199
1;7;11;41366
1;7;1;42281
1;8;11;45350
1;8;4;46135
2;0;6;46262
2;0;1;49142
2;1;1;56217
2;2;11;59283
2;2;1;60674
2;3;1;62788
2;4;11;65842
2;4;1;71945
2;5;11;75013
2;5;1;76181
2;6;11;79258
2;6;1;80564
2;7;11;83652
