PartcipantID:adsdas
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;3;0;28;-1;23;(1,1.5)(2.5,6)(7.5,1)(3.5,0.5)(0,4.5)(7,4);Pause
1;2;3;0;28;-1;20;(6.5,4.5)(1,1.5)(7.5,1)(1.5,4.5)(3.5,6)(4.5,0.5);Pause
1;3;3;0;28;-1;42;(7.5,4.5)(0.5,3.5)(1.5,1)(6.5,1)(3,6)(4,0.5);Pause
1;4;3;0;28;-1;14;(8,2)(1.5,1)(1.5,4.5)(7,5.5)(6,0.5)(4.5,6);Pause
1;5;3;0;28;-1;43;(0,2)(7,2)(7,5)(0.5,5)(4.5,6)(4.5,0.5);Pause
1;6;3;0;28;-1;5;(2.5,0.5)(6.5,1)(4,6)(7.5,4.5)(0.5,4.5)(0,2);Pause
1;7;3;0;28;-1;37;(0.5,2)(4.5,0.5)(2,6)(7.5,1)(5,6)(8,4.5);Pause
1;8;3;0;28;-1;50;(6.5,3)(4,6)(0.5,1.5)(4,0.5)(1.5,6)(7,5);Pause
2;1;3;0;28;-1;28;(6.5,5.5)(1.5,4)(7,1.5)(0,1)(4,6)(4,0.5);Pause
2;2;3;0;28;-1;31;(7.5,3)(0,4)(3.5,0.5)(0.5,1)(5.5,6)(8,6);Pause
2;3;3;0;28;-1;45;(7,3)(0.5,1.5)(7.5,6)(0.5,5)(3.5,6)(7.5,0.5);Pause
2;4;3;0;28;-1;10;(0.5,5)(7,3.5)(7.5,1)(0,1.5)(3,0.5)(3,6);Pause
2;5;3;0;28;-1;51;(6.5,5.5)(4.5,0.5)(2.5,0.5)(1,3)(7.5,2)(2.5,6);Pause
2;6;3;0;28;-1;21;(0,1.5)(3.5,0.5)(4,6)(0.5,5)(7.5,4.5)(6,1);Pause
