PartcipantID:cZX
InitialTimeStamp:14-49-52-478
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;29
1;0;1;6037
1;1;11;9147
1;1;1;19749
1;2;1;21845
1;3;1;23265
1;4;1;24525
1;5;1;27151
1;6;1;28529
1;7;1;29782
1;8;4;31101
2;0;6;31202
2;0;1;49693
2;1;11;52771
2;1;1;80714
2;2;1;81871
2;3;1;83013
2;4;1;84116
2;5;1;85235
2;6;1;86801
2;7;1;87702
2;8;4;88511
3;0;6;88654
3;0;1;90025
3;1;1;91376
3;2;1;92380
