PartcipantID:cZX
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;3;0;28;-1;23;(0,1.5)(6,6)(1,4.5)(3.5,0.5)(8,1)(7.5,3.5);Pause
1;2;3;0;28;-1;20;(6.5,5)(1,3)(7,2.5)(0,5.5)(4,6)(4.5,0.5);Pause
1;3;3;0;28;-1;42;(0.5,4)(8,3.5)(0.5,1)(3.5,6)(6,6)(7,1);Pause
1;4;3;0;28;-1;14;(2,6)(7.5,5)(1,3)(7.5,1.5)(3.5,0.5)(5,6);Pause
1;5;3;0;28;-1;43;(1.5,5)(6.5,1.5)(6.5,6)(0.5,2.5)(4,6)(7,4);Pause
1;6;3;0;28;-1;5;(7,0.5)(7,5)(0,1.5)(2,1)(1.5,5)(4.5,6);Pause
1;7;3;0;28;-1;37;(8,1.5)(4.5,6)(0.5,3)(7.5,4.5)(6,0.5)(1.5,5.5);Pause
1;8;3;0;28;-1;50;(2,6)(8,5)(6.5,3)(0.5,0.5)(4.5,6)(7,0.5);Pause
2;1;3;0;28;-1;28;(0,1.5)(7.5,3.5)(6.5,1)(1.5,5.5)(5.5,5.5)(0,3.5);Pause
2;2;3;0;28;-1;31;(0.5,2)(7,6)(0,4.5)(7,2)(5,6)(3,6);Pause
2;3;3;0;28;-1;45;(6.5,2.5)(7,5)(1.5,1)(1,6)(5,6)(1,3.5);Pause
2;4;3;0;28;-1;10;(1,2)(6.5,5.5)(7,2.5)(5,1)(1.5,6)(0,5);Pause
2;5;3;0;28;-1;51;(0.5,1)(7,6)(5.5,1)(0.5,5.5)(7.5,3.5)(4,6);Pause
2;6;3;0;28;-1;21;(1,4)(7.5,2)(0.5,1.5)(5.5,6)(8,5)(3,6);Pause
2;7;3;0;28;-1;1;(6,1)(0,3)(7.5,5)(8,2.5)(2.5,1)(0.5,1);Pause
2;8;3;0;28;-1;33;(1.5,4)(1.5,1)(5,6)(8,3)(8,5.5)(7.5,0.5);Pause
3;1;3;0;28;-1;8;(1.5,4.5)(7.5,5)(2,1)(0,2)(7,2.5)(5.5,6);Pause
3;2;3;0;28;-1;46;(6.5,3.5)(1,5)(1.5,1.5)(6.5,1)(7.5,6)(5,6);Pause
