PartcipantID:dasdsa
InitialTimeStamp:15-03-22-208
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;31
1;0;1;2246
1;1;11;5436
1;1;2;30475
1;1;3;32631
1;1;1;42793
1;2;11;45947
1;2;2;70985
1;2;3;73099
1;2;1;85225
1;3;11;88324
1;3;2;113360
1;3;3;115467
1;3;1;123566
1;4;11;126658
1;4;2;151703
1;4;3;153802
1;4;1;161910
1;5;11;165002
1;5;2;190047
1;5;3;192168
1;5;1;202292
1;6;11;205386
1;6;2;230433
1;6;3;232540
1;6;1;240669
1;7;11;243763
1;7;2;268798
1;7;3;270935
1;7;1;278963
1;8;11;282063
1;8;2;307100
1;8;3;309238
1;8;4;317276
2;0;6;317395
2;0;1;459311
2;1;11;462475
2;1;2;487504
2;1;3;489693
2;1;1;497668
2;2;11;500788
2;2;2;525833
2;2;3;527954
2;2;1;538070
2;3;11;541164
2;3;2;566191
2;3;3;568356
2;3;1;576479
2;4;11;579587
2;4;2;604625
2;4;3;606724
2;4;1;614854
2;5;11;617974
2;5;2;643017
2;5;3;645108
2;5;1;653206
2;6;11;656315
2;6;2;681353
2;6;3;683473
2;6;1;695591
2;7;11;698692
2;7;2;723736
2;7;3;725842
2;7;1;733958
2;8;11;737052
2;8;2;762099
2;8;3;764234
2;8;4;774360
3;0;6;774476
3;0;1;776890
3;1;11;779970
3;1;2;805014
3;1;3;807144
3;1;1;819259
3;2;11;822336
3;2;2;847380
3;2;3;849514
3;2;1;857626
3;3;11;860736
3;3;2;885781
3;3;3;887871
3;3;1;895985
3;4;11;899086
3;4;2;924123
3;4;3;926222
3;4;1;936337
3;5;11;939438
3;5;2;964482
3;5;3;966624
3;5;1;974762
3;6;11;977874
3;6;2;1002916
3;6;3;1005022
3;6;1;1013129
3;7;11;1016257
3;7;2;1041293
3;7;3;1043389
3;7;1;1053496
3;8;11;1056599
3;8;2;1081630
3;8;3;1083751
3;8;4;1091871
4;0;6;1092005
4;0;1;1093711
4;1;11;1096788
4;1;2;1121831
4;1;3;1123954
4;1;1;1132069
4;2;11;1135180
4;2;2;1160224
4;2;3;1162359
4;2;1;1170477
4;3;11;1173556
4;3;2;1198592
4;3;3;1200698
4;3;1;1212821
4;4;11;1215914
4;4;2;1240951
4;4;3;1243057
4;4;1;1253162
4;5;11;1256241
4;5;2;1281278
4;5;3;1283400
4;5;1;1291513
4;6;11;1294666
4;6;2;1319703
4;6;3;1321817
4;6;1;1331923
4;7;11;1335008
4;7;2;1360045
4;7;3;1362169
4;7;1;1370276
4;8;11;1373360
4;8;2;1398397
4;8;3;1400512
4;8;4;1408633
5;0;6;1408763
5;0;1;1412512
5;1;11;1415605
5;1;2;1440641
5;1;3;1442794
5;1;1;1450905
5;2;11;1454005
5;2;2;1479034
5;2;3;1481170
5;2;1;1491280
5;3;11;1494390
5;3;2;1519426
5;3;3;1521532
5;3;1;1529655
5;4;11;1532734
5;4;2;1557770
5;4;3;1559884
5;4;1;1567989
5;5;11;1571101
5;5;2;1596138
5;5;3;1598292
5;5;1;1608432
5;6;11;1611541
5;6;2;1636586
5;6;3;1638693
5;6;1;1646816
5;7;11;1649926
5;7;2;1674962
5;7;3;1677092
5;7;1;1685209
5;8;11;1688319
5;8;2;1713356
5;8;3;1715472
5;8;4;1727591
6;0;6;1727705
6;0;1;1742731
6;1;11;1745866
6;1;2;1770911
6;1;3;1773034
6;1;1;1783155
6;2;11;1786266
6;2;2;1811298
6;2;3;1813433
6;2;1;1821556
6;3;11;1824632
6;3;2;1849678
6;3;3;1851785
6;3;1;1859908
6;4;11;1863018
6;4;2;1888062
6;4;3;1890170
6;4;1;1898284
6;5;11;1901377
6;5;2;1926422
6;5;3;1928522
6;5;1;1938618
6;6;11;1941710
6;6;2;1966750
6;6;3;1968862
6;6;1;1976986
6;7;11;1980071
6;7;2;2005116
6;7;3;2007231
6;7;1;2019354
6;8;11;2022439
6;8;2;2047484
6;8;3;2049616
6;8;4;2057722
7;0;6;2057838
7;0;1;2059845
7;1;11;2062946
7;1;2;2087983
7;1;3;2090097
7;1;1;2098204
7;2;11;2101282
7;2;2;2126318
7;2;3;2128439
7;2;1;2138563
7;3;11;2141657
7;3;2;2166684
7;3;3;2168808
7;3;1;2176915
7;4;11;2180000
7;4;2;2205035
7;4;3;2207149
7;4;1;2219258
7;5;11;2222344
7;5;2;2247389
7;5;3;2249518
7;5;1;2257626
7;6;11;2260696
7;6;2;2285731
7;6;3;2287854
7;6;1;2295968
7;7;11;2299063
7;7;2;2324098
7;7;3;2326221
7;7;1;2336310
7;8;11;2339407
7;8;2;2364443
7;8;3;2366548
7;8;5;2374678
