PartcipantID:dasdsa
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;2;0;28;1;23;(5.5,6)(0,5.5)(7.5,1)(7.5,4)(0.5,2)(3.5,6);
1;2;2;0;28;0;20;(8,2)(1.5,5.5)(6,6)(1,2)(6,1)(3,0.5);
1;3;2;0;28;1;42;(6.5,6)(8,3.5)(1.5,1.5)(2,6)(5,1)(8,1);
1;4;2;0;28;0;14;(2,0.5)(8,3)(0,4)(0,1.5)(2,5)(4.5,6);
1;5;2;0;28;0;43;(0,1.5)(7.5,6)(6.5,3.5)(2,5.5)(8,1.5)(0,4);
1;6;2;0;28;1;5;(7.5,6)(1,2)(7,3)(6.5,1)(1.5,5)(4,6);
1;7;2;0;28;0;37;(7,0.5)(2.5,6)(1.5,3.5)(7.5,4)(4,0.5)(5,6);
1;8;2;0;28;1;50;(0,2.5)(2.5,5.5)(7.5,3.5)(0,5.5)(6,6)(7,1);
2;1;2;0;28;0;28;(1,2.5)(7.5,0.5)(8,3.5)(0,4.5)(4.5,6)(2,6);
2;2;2;0;28;1;31;(7.5,2.5)(1.5,1)(1,3)(1.5,5)(5,6)(7.5,5.5);
2;3;2;0;28;1;45;(7,1)(0.5,2)(4.5,6)(0,5)(6.5,5)(2,6);
2;4;2;0;28;1;10;(7.5,6)(0.5,0.5)(7,1)(0,5.5)(3,6)(0.5,3);
2;5;2;0;28;0;51;(2,1)(0,4)(7,1.5)(6,5)(3,6)(8,4);
2;6;2;0;28;0;21;(1,5.5)(7,3.5)(0.5,3)(5,6)(7.5,1)(7.5,6);
2;7;2;0;28;1;1;(2,6)(6.5,1)(8,3.5)(1,3.5)(6,6)(1,1);
2;8;2;0;28;0;33;(8,3)(1,3.5)(0.5,1.5)(6,5.5)(3.5,6)(7.5,0.5);
3;1;2;0;28;0;8;(0,4.5)(7.5,3.5)(2,1)(6,6)(6.5,1)(2,5.5);
3;2;2;0;28;1;46;(7,1.5)(1,2)(6,5)(0.5,5.5)(8,4.5)(3.5,6);
3;3;2;0;28;1;26;(7.5,1.5)(7.5,6)(0.5,1)(0.5,6)(2.5,0.5)(1,3.5);
3;4;2;0;28;0;30;(6.5,1.5)(1.5,4.5)(0.5,2)(6.5,4.5)(4.5,6)(2.5,1);
3;5;2;0;28;0;7;(6.5,1.5)(1.5,2)(1.5,5)(6.5,4)(4,6)(3.5,0.5);
3;6;2;0;28;1;35;(3.5,0.5)(7.5,1.5)(6.5,5.5)(1,4)(0.5,1.5)(3,6);
3;7;2;0;28;0;55;(1,3)(1,1)(6.5,1.5)(0,5.5)(6,5.5)(3.5,6);
3;8;2;0;28;1;16;(0,5)(7,5)(0,2)(7.5,1.5)(3,6)(3,0.5);
4;1;2;0;28;1;38;(6.5,4)(0.5,5)(7,1.5)(1,1)(4.5,1)(2.5,6);
4;2;2;0;28;0;13;(7,1.5)(0.5,0.5)(1,5.5)(0,3)(7.5,4)(3.5,6);
4;3;2;0;28;1;47;(6.5,1)(6.5,6)(0,3)(6.5,3.5)(1,5.5)(4.5,6);
4;4;2;0;28;0;48;(5.5,0.5)(8,5.5)(0,1.5)(5.5,5.5)(2.5,6)(8,1);
4;5;2;0;28;1;3;(6.5,2.5)(0.5,3)(5.5,5.5)(2,6)(8,5.5)(1,0.5);
4;6;2;0;28;0;39;(7,6)(1,1.5)(1,3.5)(8,4)(2,6)(7,1);
4;7;2;0;28;1;22;(3.5,1)(7.5,5.5)(1,6)(0.5,0.5)(4.5,6)(8,2);
4;8;2;0;28;0;18;(7.5,2)(3.5,5.5)(6.5,5)(1.5,4)(0,1)(2.5,1);
5;1;2;0;28;1;53;(7,5)(0,1.5)(6.5,1)(0,5)(3,6)(5,6);
5;2;2;0;28;0;34;(6.5,4.5)(1,4)(6.5,0.5)(2,1)(8.5,5)(4,6);
5;3;2;0;28;0;41;(0,5.5)(0.5,3)(8,1)(2,6)(6.5,3.5)(4.5,6);
5;4;2;0;28;0;44;(1.5,4.5)(6.5,3.5)(6.5,6)(1.5,1)(7,1)(3.5,6);
5;5;2;0;28;0;24;(7,4.5)(7,1.5)(0,4.5)(1.5,1.5)(2,5.5)(5,1);
5;6;2;0;28;1;2;(7.5,4.5)(7.5,1)(1,2.5)(1,6)(4,0.5)(4,6);
5;7;2;0;28;1;11;(7.5,1.5)(1,2)(0.5,5.5)(3.5,5.5)(6.5,6)(5.5,0.5);
5;8;2;0;28;1;17;(4.5,6)(0,0.5)(7.5,1.5)(2.5,6)(7.5,5)(2,1);
6;1;2;0;28;0;12;(5,6)(0.5,4.5)(7.5,5)(7.5,3)(3,6)(0,1.5);
6;2;2;0;28;1;32;(0.5,4.5)(0,1.5)(4,6)(7.5,4.5)(5.5,0.5)(7.5,1.5);
6;3;2;0;28;0;40;(7,3)(0,2.5)(1,5)(7,6)(3,6)(5,6);
6;4;2;0;28;0;54;(8,5.5)(0.5,6)(7.5,1.5)(4,5.5)(3.5,0.5)(0.5,2);
6;5;2;0;28;1;25;(2.5,6)(7.5,5.5)(6,1)(1,2.5)(8,3)(2.5,1);
6;6;2;0;28;0;15;(7,1.5)(0.5,1.5)(0,5.5)(7,4)(2.5,5.5)(2.5,0.5);
6;7;2;0;28;1;6;(3,6)(6,5.5)(7.5,3)(1,2)(7,0.5)(0.5,5);
6;8;2;0;28;1;52;(0.5,2)(7,5)(1,5.5)(7.5,2.5)(4,0.5)(4.5,6);
7;1;2;0;28;0;36;(7,1.5)(1,3)(2.5,6)(6.5,4)(0,5.5)(0,0.5);
7;2;2;0;28;1;9;(1.5,6)(1,1)(7.5,3)(5.5,0.5)(6,6)(8,0.5);
7;3;2;0;28;0;56;(0.5,5)(1.5,1.5)(7.5,2.5)(7.5,5.5)(4.5,1)(3,5.5);
7;4;2;0;28;1;29;(8,4.5)(7.5,1)(1,6)(1.5,0.5)(0,4)(4.5,0.5);
7;5;2;0;28;0;49;(6.5,0.5)(7.5,5)(2,6)(1,2)(5,5.5)(0,4.5);
7;6;2;0;28;1;19;(7,2)(5.5,6)(2.5,6)(0,1)(8,5.5)(1,3.5);
7;7;2;0;28;0;27;(7.5,3)(1.5,5)(7.5,5.5)(2.5,0.5)(0,1)(3.5,6);
7;8;2;0;28;1;4;(6,5.5)(1.5,3)(1,6)(8,2)(8,4.5)(3.5,6);
