PartcipantID:dsafd
InitialTimeStamp:22-24-01-727
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;28
1;0;1;3376
1;1;11;8488
1;1;2;13530
1;1;3;16611
1;1;1;24705
1;2;11;29761
1;2;2;34800
1;2;21;37863
1;2;3;37884
1;2;1;47987
1;3;11;53038
1;3;2;58066
1;3;3;61192
1;3;1;71221
1;4;11;76304
1;4;2;81336
1;4;3;84433
1;4;1;92512
1;5;11;97604
1;5;2;102637
1;5;21;105702
1;5;3;105724
1;5;1;113816
1;6;11;118876
1;6;2;123919
1;6;21;127007
1;6;3;127028
1;6;1;139118
1;7;11;144170
1;7;2;149214
1;7;3;152304
1;7;1;160400
1;8;11;165476
1;8;2;170518
1;8;3;173598
1;8;4;181715
2;0;6;186830
