PartcipantID:dsfds
InitialTimeStamp:14-45-34-045
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;33
1;0;1;2370
1;1;11;5508
1;1;2;30539
1;1;3;30658
1;1;1;35198
1;2;11;38276
1;2;1;40868
1;3;1;43903
1;4;1;46405
1;5;1;48397
1;6;1;53993
1;7;1;56346
1;8;4;58927
2;0;6;59035
2;0;1;61231
2;1;1;64689
2;2;1;67092
2;3;1;69278
2;4;11;72348
2;4;1;73328
2;5;1;76577
2;6;1;79033
2;7;1;81966
2;8;4;84058
3;0;6;84167
3;0;1;87721
3;1;1;91328
3;2;1;94287
3;3;1;97033
3;4;1;99499
3;5;1;102545
3;6;1;105048
3;7;1;107082
3;8;4;108823
4;0;6;108927
4;0;1;110498
4;1;1;112694
4;2;1;114325
4;3;1;116483
4;4;1;118385
4;5;1;120237
4;6;1;121876
4;7;1;123540
4;8;4;125169
5;0;6;125269
5;0;1;126646
5;1;1;128080
5;2;1;129958
5;3;1;132920
5;4;1;134572
5;5;1;136270
5;6;1;138031
5;7;1;139498
5;8;4;140939
6;0;6;141042
6;0;1;142418
6;1;1;143913
6;2;1;145425
6;3;1;146844
6;4;1;148316
6;5;1;149802
6;6;1;151260
6;7;1;152658
6;8;4;154138
7;0;6;154242
7;0;1;155620
7;1;1;157064
7;2;1;158629
7;3;1;160095
7;4;1;161507
7;5;1;162966
7;6;1;164392
7;7;1;165712
7;8;5;167198
