PartcipantID:dsfds
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;2;0;28;0;23;(2.5,1)(0,4.5)(3,6)(7.5,1.5)(0,1.5)(7.5,4.5);
1;1;3;0;28;-1;23;(2.5,1)(0,4.5)(3,6)(7.5,1.5)(0,1.5)(7.5,4.5);Pause
1;2;3;0;28;-1;20;(7.5,2)(1,2)(6.5,5)(2.5,6)(0,5.5)(5,0.5);Pause
1;3;3;0;28;-1;42;(1,4)(6.5,1)(8,3.5)(3,6)(1,1)(6,5.5);Pause
1;4;3;0;28;-1;14;(1,5.5)(8,2.5)(2,1)(0,3)(4,6)(7,6);Pause
1;5;3;0;28;-1;43;(2.5,6)(1,3.5)(7,2)(6.5,5.5)(0,1)(2,1);Pause
1;6;3;0;28;-1;5;(6,6)(1.5,5)(8,3)(0,2.5)(6,1)(2,1);Pause
1;7;3;0;28;-1;37;(0,4.5)(5,6)(7.5,2)(0,1.5)(4,0.5)(7,5);Pause
1;8;3;0;28;-1;50;(8,2)(6,6)(0,4)(2,5)(1,1.5)(6.5,3.5);Pause
2;1;3;0;28;-1;28;(6,1.5)(8,2.5)(0.5,4.5)(7,5)(1.5,1.5)(3.5,6);Pause
2;2;3;0;28;-1;31;(1,1.5)(7,4)(3,0.5)(1.5,5.5)(8,1.5)(4.5,6);Pause
2;3;3;0;28;-1;45;(7.5,5.5)(0,4)(0.5,1)(8,1.5)(2,5.5)(5.5,1);Pause
2;4;3;0;28;-1;10;(0,3.5)(7,2)(5.5,5.5)(0,1)(8,4.5)(2.5,1);Pause
2;5;3;0;28;-1;51;(6.5,3)(0,4)(1.5,2)(2,5.5)(5.5,5.5)(8,5.5);Pause
2;6;3;0;28;-1;21;(7,4)(0,5)(2,0.5)(8,1.5)(0,2.5)(2,6);Pause
2;7;3;0;28;-1;1;(4,6)(6.5,5.5)(1,1.5)(1,5)(7.5,1.5)(5.5,1);Pause
2;8;3;0;28;-1;33;(0,4)(6.5,4)(6.5,1)(2.5,6)(0.5,1.5)(3.5,0.5);Pause
3;1;3;0;28;-1;8;(1,5.5)(6.5,1.5)(1,1.5)(4.5,5.5)(7.5,4.5)(3,0.5);Pause
3;2;3;0;28;-1;46;(8,1.5)(0.5,4)(0,1)(6.5,6)(7,4)(3.5,6);Pause
3;3;3;0;28;-1;26;(0.5,2.5)(6.5,2.5)(0.5,6)(5.5,5.5)(4,0.5)(8,5);Pause
3;4;3;0;28;-1;30;(1,4)(8,1.5)(6,5.5)(1.5,1)(8,4.5)(6,1);Pause
3;5;3;0;28;-1;7;(1,3)(6.5,2)(2,6)(6.5,5.5)(0,6)(0.5,0.5);Pause
3;6;3;0;28;-1;35;(0,4)(7.5,2)(7.5,4)(0.5,1)(2,6)(5,6);Pause
3;7;3;0;28;-1;55;(2.5,0.5)(6.5,1.5)(7.5,6)(4,6)(0.5,3.5)(0,0.5);Pause
3;8;3;0;28;-1;16;(7.5,6)(8,3)(1,5.5)(0,2.5)(3.5,6)(0,0.5);Pause
4;1;3;0;28;-1;38;(0.5,1.5)(1,4.5)(6.5,1.5)(7,6)(3.5,1)(7.5,4);Pause
4;2;3;0;28;-1;13;(8,4.5)(7.5,1)(-0.5,3)(1.5,4)(2,1)(4.5,6);Pause
4;3;3;0;28;-1;47;(0.5,3.5)(7.5,2)(7,4.5)(1.5,6)(0,1)(5.5,1);Pause
4;4;3;0;28;-1;48;(1.5,4.5)(7.5,5.5)(7.5,1)(2,1)(6.5,3.5)(0,2);Pause
4;5;3;0;28;-1;3;(8,4.5)(4.5,6)(7,1)(1,1.5)(1.5,6)(4,0.5);Pause
4;6;3;0;28;-1;39;(5.5,0.5)(3,6)(7.5,4.5)(8,1.5)(0,4)(1.5,1);Pause
4;7;3;0;28;-1;22;(8.5,4.5)(1,4.5)(6,1)(6,5.5)(0.5,1)(3.5,6);Pause
4;8;3;0;28;-1;18;(0,1.5)(8,5.5)(2,5.5)(8,1.5)(0,4)(6,5);Pause
5;1;3;0;28;-1;53;(7.5,3.5)(0,1)(6,6)(0,4)(6,1)(2,1);Pause
5;2;3;0;28;-1;34;(7.5,1)(0.5,3.5)(2.5,5.5)(8,4)(5.5,6)(1.5,1);Pause
5;3;3;0;28;-1;41;(7,1.5)(1.5,3.5)(1,1)(8,3.5)(6,5.5)(3,6);Pause
5;4;3;0;28;-1;44;(8,3)(0,2.5)(4.5,6)(1.5,4.5)(8,5.5)(6,1);Pause
5;5;3;0;28;-1;24;(1,1.5)(7,3.5)(6,5.5)(0.5,4)(7,1)(3,6);Pause
5;6;3;0;28;-1;2;(8,4.5)(0,3)(7.5,2)(2,0.5)(3,6)(0,5.5);Pause
