PartcipantID:dskjfnfjkdsa
InitialTimeStamp:14-51-41-744
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;29
1;0;1;2482
1;1;1;4018
1;2;1;4941
1;3;1;5690
1;4;1;6381
1;5;1;7051
1;6;1;7668
1;7;1;8358
1;8;4;9033
2;0;6;9174
2;0;1;10756
2;1;1;11842
2;2;1;12390
2;3;1;13042
2;4;1;13759
2;5;1;14473
2;6;1;15178
2;7;1;15857
2;8;4;16643
3;0;6;16847
3;0;1;18530
3;1;1;19431
3;2;1;20103
3;3;1;20905
3;4;1;21601
3;5;1;22373
3;6;1;23769
3;7;1;27373
3;8;4;28450
4;0;6;28607
4;0;1;30240
4;1;1;31733
4;2;1;32873
4;3;1;34089
4;4;1;35031
4;5;1;35749
4;6;1;36573
4;7;1;37321
4;8;4;38127
5;0;6;38269
5;0;1;40470
5;1;1;41457
5;2;1;42107
5;3;1;42873
5;4;1;43558
5;5;1;44272
5;6;1;44926
5;7;1;45641
5;8;4;46333
6;0;6;46494
6;0;1;47782
6;1;1;48678
6;2;1;49214
6;3;1;49913
6;4;1;50685
6;5;1;51383
6;6;1;52122
6;7;1;52867
6;8;4;53641
7;0;6;53770
7;0;1;55037
7;1;1;55857
7;2;1;56539
7;3;1;57255
7;4;1;57956
7;5;1;58757
7;6;1;59491
7;7;1;60225
7;8;5;61731
