PartcipantID:dskjfnfjkdsa
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;3;0;28;-1;23;(0,1.5)(8,3)(5,6)(2.5,6)(0,4.5)(6,1);Pause
1;2;3;0;28;-1;20;(0,3)(6.5,5)(2.5,6)(0,5.5)(8,2.5)(5.5,0.5);Pause
1;3;3;0;28;-1;42;(6.5,3.5)(8,1)(4.5,6)(1,1)(3,1)(1,4);Pause
1;4;3;0;28;-1;14;(0.5,3.5)(7.5,5)(1,1)(7.5,2)(3.5,0.5)(2.5,5.5);Pause
1;5;3;0;28;-1;43;(1,2)(7.5,2)(0.5,6)(7.5,5)(3.5,6)(5.5,6);Pause
1;6;3;0;28;-1;5;(7,3.5)(1.5,5.5)(6.5,1)(2.5,1)(0,2.5)(6.5,6);Pause
1;7;3;0;28;-1;37;(2.5,0.5)(8,5)(5,6)(1,4)(6,1)(8,2);Pause
1;8;3;0;28;-1;50;(0.5,5.5)(7,5.5)(7.5,2)(1.5,0.5)(3.5,6)(5,0.5);Pause
2;1;3;0;28;-1;28;(6,5.5)(1.5,4.5)(1,1)(8,1.5)(5,0.5)(4,6);Pause
2;2;3;0;28;-1;31;(1,4)(7.5,3.5)(5,0.5)(8,1)(0,1)(5,6);Pause
2;3;3;0;28;-1;45;(6.5,5)(1,3)(0,5.5)(6.5,1)(2,0.5)(2.5,6);Pause
2;4;3;0;28;-1;10;(8,4)(0.5,5)(7,1.5)(5.5,6)(0,1.5)(4.5,1);Pause
2;5;3;0;28;-1;51;(0,3)(2,5.5)(6.5,1)(7.5,4)(4.5,6)(2,1);Pause
2;6;3;0;28;-1;21;(1,5.5)(3.5,0.5)(6.5,2.5)(6.5,5)(1,2)(4,6);Pause
2;7;3;0;28;-1;1;(1,5.5)(7.5,2)(0,2.5)(2.5,0.5)(4,6)(7.5,6);Pause
2;8;3;0;28;-1;33;(6.5,2.5)(1,4)(0.5,2)(8,5.5)(5,6)(3,0.5);Pause
