PartcipantID:hades
instanceNumber;c;p;w;v;id;type;sol
1;61;144;7,4,17,21,20,28;3,44,28,22,38,46;47-0.63-0.8;1;0
2;96;106;2,6,20,40,40,41;5,2,36,23,44,28;76-0.65-0.77;1;0
3;104;91;21,40,23,45,38,4;15,13,34,25,32,2;33-0.61-0.76;1;0
4;106;130;45,44,12,10,32,28;41,48,36,5,24,11;244-0.62-0.79;1;0
5;66;100;7,37,14,14,20,12;28,40,7,3,27,20;245-0.64-0.8;1;0
6;71;125;11,35,27,13,18,12;1,45,16,29,47,23;40-0.62-0.78;1;0
7;95;136;12,23,31,48,16,27;20,36,27,39,8,43;232-0.61-0.79;1;0
8;51;127;7,2,31,17,17,7;45,5,46,15,12,45;132-0.63-0.76;2;1
9;92;88;43,37,16,15,1,37;25,2,7,41,31,11;206-0.62-0.76;2;1
10;142;117;46,47,30,48,36,23;38,21,39,2,38,16;248-0.62-0.76;2;1
11;108;130;9,42,24,33,31,34;49,23,18,42,3,30;118-0.63-0.79;2;1
12;108;127;33,18,35,39,22,22;48,5,45,14,33,21;25-0.64-0.77;2;1
13;88;92;40,26,6,6,42,23;2,30,14,23,22,25;77-0.62-0.8;2;1
14;141;108;42,41,14,45,42,41;21,39,12,3,20,48;67-0.63-0.76;2;1
15;137;155;42,34,49,37,37,20;38,16,38,47,32,31;60-0.63-0.77;3;0
16;94;154;3,33,49,26,38,3;18,44,38,20,40,43;74-0.62-0.76;3;0
17;110;120;40,10,40,39,27,22;16,13,29,29,33,34;49-0.62-0.78;3;0
18;110;145;35,42,47,5,10,33;20,42,44,17,23,46;187-0.64-0.76;3;0
19;103;152;42,37,5,5,24,46;34,36,38,34,24,32;102-0.65-0.77;3;0
20;102;173;36,30,20,19,38,15;48,38,44,37,40,18;207-0.65-0.77;3;0
21;131;152;27,27,43,29,44,33;35,29,15,38,29,47;112-0.65-0.79;3;0
22;84;145;33,28,24,27,13,11;49,44,2,21,35,40;80-0.62-0.76;4;1
23;119;88;38,32,32,45,19,27;8,43,26,19,5,15;121-0.62-0.76;4;1
24;97;133;27,18,19,20,38,33;1,31,34,37,22,49;149-0.63-0.77;4;1
25;81;88;42,3,22,4,47,15;4,41,21,19,23,8;156-0.61-0.76;4;1
26;79;130;2,29,44,1,28,27;24,16,49,27,32,22;59-0.61-0.77;4;1
27;87;156;11,18,41,4,42,25;32,45,12,42,46,26;155-0.62-0.77;4;1
28;107;133;4,40,25,47,41,11;37,19,21,29,16,49;126-0.64-0.78;4;1
29;59;144;3,2,8,20,17,46;28,13,42,12,34,28;119-0.62-0.92;5;0
30;95;125;18,26,44,32,16,11;28,17,37,21,19,11;50-0.65-0.94;5;0
31;95;138;40,26,37,4,12,32;37,33,16,43,10,7;236-0.63-0.95;5;0
32;97;94;17,20,24,17,24,48;8,27,7,30,20,7;143-0.65-0.95;5;0
33;101;110;16,41,46,29,4,30;3,29,1,35,8,43;235-0.61-0.93;5;0
34;76;152;29,34,19,8,27,8;47,29,18,12,28,34;9-0.61-0.91;5;0
35;84;133;24,17,29,46,6,16;24,8,19,33,28,28;231-0.61-0.95;5;0
36;62;163;24,2,27,18,20,9;48,17,3,38,36,38;220-0.62-0.91;5;0
37;109;144;4,38,25,16,49,47;43,45,20,26,12,13;124-0.61-0.91;5;0
38;109;162;27,35,45,43,22,8;26,27,17,39,34,28;153-0.61-0.95;5;0
39;70;183;42,7,6,45,9,5;34,26,21,33,41,42;71-0.62-0.93;5;0
40;83;194;3,34,20,10,17,45;34,33,42,32,32,34;122-0.65-0.94;5;0
41;59;118;48,29,7,4,3,6;21,34,35,16,14,7;116-0.61-0.93;5;0
42;100;122;2,49,12,40,37,19;46,19,15,32,4,16;65-0.63-0.93;5;0
43;114;35;36,10,23,34,43,30;14,2,8,10,20,3;6-0.65-0.62;6;1
44;116;92;34,26,36,22,38,35;12,7,34,42,34,13;70-0.61-0.65;6;1
45;72;110;6,21,3,25,45,17;7,35,46,38,23,32;167-0.62-0.61;6;1
46;91;55;29,1,38,43,6,23;8,6,3,45,7,16;0-0.65-0.65;6;1
47;86;79;28,20,10,7,40,32;13,25,40,29,15,8;175-0.63-0.61;6;1
48;113;114;4,20,44,47,47,12;28,21,40,46,38,6;140-0.65-0.64;6;1
49;82;90;7,40,35,22,28,4;19,32,41,31,16,9;152-0.61-0.61;6;1
50;79;124;6,2,38,37,11,32;42,44,22,15,31,44;29-0.63-0.63;6;1
51;93;99;31,38,34,9,33,5;48,29,25,28,29,1;238-0.62-0.62;6;1
52;103;144;37,27,22,46,3,27;47,37,34,39,43,29;69-0.64-0.63;6;1
53;91;102;38,2,45,8,37,16;2,19,37,29,49,26;61-0.63-0.63;6;1
54;101;85;14,13,34,43,43,16;9,22,19,23,24,36;160-0.62-0.64;6;1
55;77;83;23,7,9,29,46,9;45,2,9,23,48,7;78-0.63-0.62;6;1
56;40;61;2,5,2,34,20,3;24,3,30,33,1,8;188-0.62-0.62;6;1
