PartcipantID:hades
InitialTimeStamp:22-42-13-752
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;30
1;0;1;44714
1;1;11;47833
1;1;2;72864
1;1;3;74951
1;1;1;83038
1;2;11;86090
1;2;2;111127
1;2;3;113273
1;2;1;123400
1;3;11;126451
1;3;2;151481
1;3;3;153559
1;3;1;163694
1;4;11;166758
1;4;2;191794
1;4;21;193856
1;4;3;193877
1;4;1;201965
1;5;11;205022
1;5;2;230057
1;5;3;232139
1;5;1;240221
1;6;11;243295
1;6;2;268328
1;6;21;270409
1;6;3;270429
1;6;1;282526
1;7;11;285592
1;7;2;310622
1;7;3;312704
1;7;1;320779
1;8;11;323852
1;8;2;348890
1;8;3;350984
1;8;4;359064
2;0;6;359164
2;0;1;415843
