PartcipantID:hhgvhgj
InitialTimeStamp:17-03-11-940
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;27
1;0;1;1927
1;1;11;5106
1;1;1;29960
1;2;1;31351
1;3;1;32677
1;4;1;34041
1;5;1;35434
1;6;1;36837
1;7;1;38417
1;8;4;41353
2;0;6;41475
2;0;1;44317
2;1;1;47351
2;2;1;49401
2;3;1;51270
2;4;1;69777
2;5;1;71822
2;6;11;74904
2;6;2;99949
2;6;3;102070
2;6;1;114972
2;7;11;118047
2;7;2;143088
2;7;3;145198
