PartcipantID:hhgvhgj
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;3;0;28;-1;23;(7.5,6)(1,3.5)(7,1)(3.5,6)(0,1)(1,6);Pause
1;2;3;0;28;-1;20;(0,1)(6.5,5)(6.5,2)(0.5,5.5)(0,3.5)(2.5,6);Pause
1;3;3;0;28;-1;42;(7.5,3)(0,4.5)(0.5,1.5)(6.5,6)(5,1)(2,5.5);Pause
1;4;3;0;28;-1;14;(7.5,4)(0.5,5.5)(6.5,2)(0.5,1)(3.5,0.5)(3.5,6);Pause
1;5;3;0;28;-1;43;(1,6)(6.5,4)(7,1.5)(0.5,3.5)(3.5,6)(1.5,1);Pause
1;6;3;0;28;-1;5;(7.5,2.5)(1,3.5)(4,6)(5,1)(6.5,6)(0.5,1);Pause
1;7;3;0;28;-1;37;(7,2.5)(0.5,1)(0.5,6)(7,6)(4,6)(0,3.5);Pause
1;8;3;0;28;-1;50;(0,3)(6,1)(5.5,6)(1.5,4.5)(6.5,3.5)(3.5,0.5);Pause
2;1;3;0;28;-1;28;(0,5)(7.5,3.5)(0.5,2)(6,1)(2,5.5)(6,6);Pause
2;2;3;0;28;-1;31;(0.5,3)(6,5.5)(3,0.5)(8,1.5)(1,6)(8,4);Pause
2;3;3;0;28;-1;45;(7,3.5)(1.5,4.5)(7.5,1)(4.5,6)(0,0.5)(7,6);Pause
2;4;3;0;28;-1;10;(7,1)(0.5,1.5)(7,5)(0,5)(2,5.5)(4,6);Pause
2;5;3;0;28;-1;51;(1,2.5)(8,1)(5.5,1)(7.5,4)(2,6)(5,6);Pause
2;6;2;0;28;0;21;(7,2.5)(1,2.5)(4,0.5)(7,6)(0.5,5)(4,6);
2;6;3;0;28;-1;21;(7,2.5)(1,2.5)(4,0.5)(7,6)(0.5,5)(4,6);Pause
2;7;2;0;28;1;1;(6.5,6)(1,5)(1.5,1)(7.5,2)(3.5,6)(5.5,1);
