PartcipantID:jdfdgsfjdsf
InitialTimeStamp:14-55-33-204
1:ItemsNoQuestion;11:ItemsWithQuestion;2:AnswerScreen;21:ParticipantsAnswer;3:InterTrialScreen;4:InterBlockScreen;5:EndScreen;6:WaitForTriggerScreen
block;trial;eventType;elapsedTime
1;0;6;29
1;0;1;6765
1;1;1;8769
1;2;1;10653
1;3;1;11923
1;4;1;13651
1;5;1;14675
1;6;1;15813
1;7;1;16786
1;8;4;17737
2;0;6;17841
2;0;1;19215
2;1;1;20261
2;2;1;21110
2;3;1;22086
2;4;1;23021
2;5;1;23905
2;6;1;24559
2;7;1;25281
2;8;4;25959
3;0;6;26063
3;0;1;27314
3;1;1;28151
3;2;1;28831
3;3;1;29518
3;4;1;30265
3;5;1;30972
3;6;1;31668
3;7;1;32459
3;8;4;33297
4;0;6;33396
4;0;1;34673
4;1;1;35559
4;2;1;36257
4;3;1;36987
4;4;1;37707
4;5;1;38428
4;6;1;39150
4;7;1;39852
4;8;4;40574
5;0;6;40676
5;0;1;41871
5;1;1;42772
5;2;1;43446
5;3;1;44191
5;4;1;45420
5;5;11;48483
5;5;1;50742
5;6;1;51481
5;7;1;52337
5;8;4;53277
6;0;6;53380
6;0;1;55158
6;1;1;56609
6;2;1;57235
6;3;1;57950
6;4;1;58601
6;5;1;59272
6;6;1;59911
6;7;1;60517
6;8;4;61156
7;0;6;61265
7;0;1;62705
7;1;1;63618
7;2;1;64239
7;3;1;64903
7;4;1;65493
7;5;1;66173
7;6;1;67066
7;7;1;67749
7;8;5;68357
