PartcipantID:jdfdgsfjdsf
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
1;1;3;0;28;-1;23;(8,3.5)(7.5,1)(2.5,6)(0.5,1)(0,4)(7.5,6);Pause
1;2;3;0;28;-1;20;(2.5,6)(7,4)(0.5,1.5)(7,1)(0,5.5)(3,1);Pause
1;3;3;0;28;-1;42;(7,5)(8,2.5)(0.5,2)(0,5)(2.5,1)(2.5,5.5);Pause
1;4;3;0;28;-1;14;(0.5,0.5)(8,3)(6,1)(2,5.5)(1,3)(6.5,5.5);Pause
1;5;3;0;28;-1;43;(0.5,1.5)(7,4.5)(2.5,0.5)(2,5.5)(4.5,6)(8,2);Pause
1;6;3;0;28;-1;5;(7.5,2)(0.5,2.5)(3,6)(7,4.5)(0.5,5)(5,6);Pause
1;7;3;0;28;-1;37;(0.5,3.5)(6.5,1)(7.5,4.5)(2,1)(4,6)(1.5,6);Pause
1;8;3;0;28;-1;50;(1.5,4.5)(6.5,4)(7,1)(0,0.5)(3.5,6)(7.5,6);Pause
2;1;3;0;28;-1;28;(8,4.5)(0,1.5)(1,4.5)(7,1.5)(4.5,0.5)(5,6);Pause
2;2;3;0;28;-1;31;(7,4)(1.5,5)(5.5,1)(1,2)(7.5,1.5)(4,6);Pause
2;3;3;0;28;-1;45;(1,1.5)(7.5,1)(7.5,4.5)(0,5)(3,5.5)(5.5,5.5);Pause
2;4;3;0;28;-1;10;(6.5,4.5)(2.5,5.5)(1,3)(0,6)(0.5,0.5)(8,1);Pause
2;5;3;0;28;-1;51;(7.5,5.5)(0.5,1)(0.5,5)(7.5,1.5)(2.5,6)(5,6);Pause
2;6;3;0;28;-1;21;(1.5,1.5)(6.5,0.5)(1,5)(6,6)(7,3.5)(3,6);Pause
2;7;3;0;28;-1;1;(6.5,5.5)(2.5,5.5)(1,2.5)(8,2)(5,0.5)(0,5.5);Pause
2;8;3;0;28;-1;33;(1.5,1.5)(8,3)(5,6)(1.5,6)(7.5,6)(6,0.5);Pause
3;1;3;0;28;-1;8;(7.5,5.5)(1.5,1)(7,2)(3.5,6)(0.5,5)(4,0.5);Pause
3;2;3;0;28;-1;46;(8,3.5)(6.5,1)(1.5,1)(1,5.5)(0.5,3.5)(6.5,6);Pause
3;3;3;0;28;-1;26;(4,5.5)(8,1)(7.5,4)(1.5,5)(2,0.5)(0,2);Pause
3;4;3;0;28;-1;30;(1,4)(5.5,6)(8,2)(0.5,1)(7.5,5)(6,1);Pause
3;5;3;0;28;-1;7;(7.5,2.5)(1,1)(7,5)(1,3.5)(1,6)(4.5,0.5);Pause
3;6;3;0;28;-1;35;(2,6)(2,1)(5,0.5)(7.5,6)(8,3)(1.5,4);Pause
3;7;3;0;28;-1;55;(0,1.5)(7,6)(0.5,5.5)(6,1)(4.5,6)(2,0.5);Pause
3;8;3;0;28;-1;16;(1,3)(6.5,3.5)(2,5.5)(6.5,1)(7,6)(3.5,0.5);Pause
4;1;3;0;28;-1;38;(7,4.5)(0.5,2)(1,4.5)(8,1)(3,1)(4.5,6);Pause
4;2;3;0;28;-1;13;(0.5,2.5)(3,6)(6.5,3.5)(0.5,5)(6,6)(7.5,1);Pause
4;3;3;0;28;-1;47;(8,4)(3,6)(0.5,2)(0.5,6)(7,1)(5,6);Pause
4;4;3;0;28;-1;48;(7,1)(5,5.5)(8,4.5)(1.5,0.5)(0.5,6)(1,3);Pause
4;5;3;0;28;-1;3;(8,5)(0.5,3)(6,1)(1.5,6)(8,2)(5.5,6);Pause
4;6;3;0;28;-1;39;(7,3)(3.5,1)(0.5,1)(6,1)(7,5.5)(1.5,4.5);Pause
4;7;3;0;28;-1;22;(2.5,5.5)(7.5,2.5)(1,2)(7.5,5.5)(0.5,6)(4.5,6);Pause
4;8;3;0;28;-1;18;(1.5,6)(7.5,0.5)(7.5,4)(0,2)(5.5,1)(2,1);Pause
5;1;3;0;28;-1;53;(7,2)(7,5)(1.5,0.5)(1,3)(1.5,6)(3.5,6);Pause
5;2;3;0;28;-1;34;(7.5,2)(0.5,3.5)(5,6)(1.5,1)(2.5,6)(7,5.5);Pause
5;3;3;0;28;-1;41;(0,6)(3.5,6)(1.5,1)(7,4.5)(7.5,1)(1.5,3.5);Pause
5;4;3;0;28;-1;44;(3.5,0.5)(7,6)(8,3)(0.5,3)(1,6)(0.5,1);Pause
5;5;3;0;28;-1;24;(0.5,3.5)(2.5,1)(7.5,4)(4.5,6)(7.5,1.5)(4.5,1);Pause
5;6;3;0;28;-1;2;(7,1)(8,4)(1,6)(6,5.5)(0,2.5)(3.5,6);Pause
5;7;3;0;28;-1;11;(7.5,5.5)(0.5,1.5)(3,6)(7,0.5)(0.5,4.5)(5,1);Pause
5;8;3;0;28;-1;17;(3,6)(8,3.5)(0,4)(5,6)(7,1)(0.5,1.5);Pause
6;1;3;0;28;-1;12;(1,2)(8,2.5)(0,4.5)(5,1)(3,0.5)(7.5,5.5);Pause
6;2;3;0;28;-1;32;(7,1.5)(6.5,5)(1,2)(1,4.5)(5,0.5)(3.5,6);Pause
6;3;3;0;28;-1;40;(1,4)(7.5,3.5)(7.5,1)(7.5,6)(1,1)(3,1);Pause
6;4;3;0;28;-1;54;(5.5,6)(1,4.5)(8,4.5)(2,1)(3,5.5)(7.5,1);Pause
6;5;3;0;28;-1;25;(0,1.5)(7,3)(1,5.5)(5,0.5)(6,5.5)(3.5,6);Pause
6;6;3;0;28;-1;15;(7.5,1)(6.5,3.5)(3,6)(0.5,5.5)(0.5,1.5)(7.5,6);Pause
6;7;3;0;28;-1;6;(7,1.5)(1.5,4)(7,5.5)(1,1.5)(6.5,3.5)(4,6);Pause
6;8;3;0;28;-1;52;(7.5,3)(1,5.5)(0,2.5)(4,6)(7.5,6)(6.5,1);Pause
7;1;3;0;28;-1;36;(6,6)(7.5,1.5)(2,6)(0,1)(0.5,3.5)(3.5,0.5);Pause
7;2;3;0;28;-1;9;(1.5,1)(7,1.5)(7.5,5)(4,0.5)(4,6)(1,6);Pause
7;3;3;0;28;-1;56;(6,4.5)(0.5,2)(0.5,5)(7.5,2)(3.5,1)(8,5.5);Pause
7;4;3;0;28;-1;29;(8,3.5)(6.5,6)(7,0.5)(1.5,4.5)(0,2)(2.5,0.5);Pause
7;5;3;0;28;-1;49;(0.5,3.5)(7.5,2)(4,6)(6,6)(0,1)(0,6);Pause
7;6;3;0;28;-1;19;(6.5,6)(7,1)(2,1)(1,5)(7,3.5)(0,2);Pause
7;7;3;0;28;-1;27;(8,5)(1.5,3.5)(7.5,1.5)(1,5.5)(2,1)(3.5,6);Pause
7;8;3;0;28;-1;4;(8,1.5)(1,2.5)(0,5.5)(6.5,5)(6,0.5)(3,6);Pause
