PartcipantID:jhsdhjsa
instanceNumber;c;p;w;v;id;type;sol
1;43;109;24,2,27,18,20,9;48,17,3,38,36,38;220-0.43-0.61;1;0
2;60;108;11,35,40,15,7,29;18,45,18,5,37,44;234-0.44-0.65;1;0
3;85;66;37,24,49,42,36,11;25,9,17,35,5,15;247-0.43-0.63;1;0
4;79;124;43,5,39,36,29,32;41,7,36,44,23,49;170-0.43-0.62;1;0
5;65;116;28,5,20,45,38,23;33,49,17,32,15,33;28-0.41-0.65;1;0
6;90;100;48,34,43,32,20,44;26,24,34,47,17,11;98-0.41-0.63;1;0
7;57;91;24,48,15,33,3,18;11,49,5,25,9,44;63-0.41-0.64;1;0
8;56;77;21,16,34,7,8,46;16,29,35,26,6,13;123-0.43-0.62;2;1
9;69;124;29,8,19,41,40,32;47,40,39,44,23,11;144-0.41-0.61;2;1
10;62;77;17,14,39,25,2,42;1,41,26,36,13,10;109-0.45-0.61;2;1
11;75;64;49,25,27,38,13,19;14,9,40,5,10,24;93-0.44-0.63;2;1
12;68;50;13,16,45,49,18,14;9,8,1,20,34,9;125-0.44-0.62;2;1
13;65;94;23,12,25,42,13,42;43,3,17,14,49,24;246-0.42-0.63;2;1
14;61;93;1,38,8,39,14,37;21,18,35,3,35,38;38-0.45-0.62;2;1
15;91;123;27,27,43,29,44,33;35,29,15,38,29,47;112-0.45-0.64;3;0
16;65;116;33,31,37,20,18,10;43,46,25,37,17,23;82-0.44-0.61;3;0
17;89;74;42,47,31,5,39,40;22,40,17,5,29,1;72-0.44-0.65;3;0
18;59;115;28,44,10,6,17,27;21,37,35,49,18,26;18-0.45-0.62;3;0
19;66;109;27,18,19,20,38,33;1,31,34,37,22,49;149-0.43-0.63;3;0
20;76;107;33,18,35,39,22,22;48,5,45,14,33,21;25-0.45-0.65;3;0
21;59;110;8,18,36,15,20,41;25,33,49,17,43,5;104-0.43-0.64;3;0
22;61;108;27,18,49,40,8,9;7,37,48,9,44,33;176-0.41-0.61;4;1
23;74;99;25,44,17,39,30,23;27,19,46,11,37,13;88-0.42-0.65;4;1
24;84;75;28,39,23,27,35,41;2,21,9,48,37,7;197-0.44-0.61;4;1
25;61;122;33,28,24,27,13,11;49,44,2,21,35,40;80-0.45-0.64;4;1
26;57;75;42,3,22,4,47,15;4,41,21,19,23,8;156-0.43-0.65;4;1
27;64;78;38,18,22,44,10,18;14,34,24,16,22,13;195-0.43-0.64;4;1
28;75;79;5,47,32,45,11,28;36,2,28,16,17,27;172-0.45-0.63;4;1
29;52;161;6,21,3,25,45,17;7,35,46,38,23,32;167-0.45-0.89;5;0
30;66;168;37,46,11,28,32,9;15,28,41,45,42,25;81-0.41-0.86;5;0
31;52;188;5,40,22,22,31,3;48,19,43,28,41,30;105-0.43-0.9;5;0
32;55;157;33,11,29,33,19,1;46,18,18,41,47,13;201-0.44-0.86;5;0
33;67;155;12,23,31,48,16,27;20,36,27,39,8,43;232-0.43-0.9;5;0
34;70;111;29,24,24,44,3,40;3,5,49,27,39,5;32-0.43-0.87;5;0
35;79;155;20,37,42,27,43,16;37,19,38,13,47,27;194-0.43-0.86;5;0
36;34;113;7,15,18,11,2,30;35,8,19,19,2,45;190-0.41-0.89;5;0
37;75;141;4,38,25,16,49,47;43,45,20,26,12,13;124-0.42-0.89;5;0
38;71;82;18,42,30,43,33,1;16,13,34,2,5,22;4-0.43-0.9;5;0
39;74;118;49,39,4,45,22,23;13,36,25,23,3,38;145-0.41-0.86;5;0
40;54;153;14,35,6,26,26,15;40,26,24,43,25,13;129-0.45-0.9;5;0
41;63;146;40,36,11,17,37,7;49,34,44,4,21,18;161-0.43-0.86;5;0
42;62;126;27,3,37,23,35,28;11,15,35,41,14,29;51-0.41-0.87;5;0
43;74;64;4,20,44,47,47,12;28,21,40,46,38,6;140-0.43-0.36;6;1
44;65;75;42,37,5,5,24,46;34,36,38,34,24,32;102-0.41-0.38;6;1
45;65;81;3,33,49,26,38,3;18,44,38,20,40,43;74-0.43-0.4;6;1
46;74;35;1,34,15,43,29,43;47,7,6,4,25,4;227-0.45-0.38;6;1
47;40;61;6,25,18,18,20,11;30,28,27,38,12,19;178-0.41-0.4;6;1
48;82;52;34,26,36,22,38,35;12,7,34,42,34,13;70-0.43-0.37;6;1
49;67;81;36,30,20,19,38,15;48,38,44,37,40,18;207-0.43-0.36;6;1
50;58;53;5,10,44,22,35,24;34,23,33,17,10,28;173-0.42-0.37;6;1
51;73;60;23,38,14,43,45,12;3,40,7,29,36,37;73-0.42-0.4;6;1
52;46;62;10,34,12,4,26,29;9,40,15,42,37,31;242-0.4-0.36;6;1
53;35;46;6,16,5,6,17,17;19,6,15,5,14,12;0-0.43-0.39;6;1
54;47;72;42,7,6,45,9,5;34,26,21,33,41,42;71-0.42-0.37;6;1
55;61;56;5,32,49,35,9,19;17,45,11,29,34,22;209-0.41-0.36;6;1
56;68;74;42,49,13,22,38,4;26,49,47,43,22,4;111-0.41-0.39;6;1
