PartcipantID:sadadsa
instanceNumber;c;p;w;v;id;type;sol
1;54;78;21,16,34,7,8,46;16,29,35,26,6,13;123-0.41-0.63;1;0
2;72;98;30,37,28,8,11,48;29,7,29,31,29,34;134-0.45-0.62;1;0
3;52;128;24,12,19,18,45,12;35,21,24,46,42,30;39-0.4-0.65;1;0
4;59;89;24,17,29,46,6,16;24,8,19,33,28,28;231-0.43-0.64;1;0
5;43;81;7,37,14,14,20,12;28,40,7,3,27,20;245-0.42-0.65;1;0
6;50;83;21,30,16,33,1,23;12,41,26,13,10,30;212-0.41-0.63;1;0
7;85;66;37,24,49,42,36,11;25,9,17,35,5,15;247-0.43-0.63;1;0
8;76;96;37,29,46,7,48,10;36,41,1,3,45,23;243-0.43-0.65;2;1
9;92;59;47,41,30,30,46,32;18,46,15,2,3,7;146-0.41-0.65;2;1
10;61;83;38,10,21,47,6,14;18,47,29,5,26,4;11-0.45-0.65;2;1
11;51;92;10,31,25,4,38,11;46,43,11,5,32,5;5-0.43-0.65;2;1
12;49;91;30,29,7,30,5,12;21,34,35,6,13,39;45-0.44-0.62;2;1
13;72;90;37,11,26,19,39,46;44,25,1,39,19,21;48-0.41-0.61;2;1
14;67;97;5,32,49,35,9,19;17,45,11,29,34,22;209-0.45-0.62;2;1
15;75;104;27,35,45,43,22,8;26,27,17,39,34,28;153-0.42-0.61;3;0
16;69;137;36,30,20,19,38,15;48,38,44,37,40,18;207-0.44-0.61;3;0
17;62;89;2,6,20,40,40,41;5,2,36,23,44,28;76-0.42-0.65;3;0
18;90;135;48,27,32,39,31,33;38,34,49,38,31,29;41-0.43-0.62;3;0
19;71;86;14,13,34,43,43,16;9,22,19,23,24,36;160-0.44-0.65;3;0
20;75;98;39,24,47,19,27,15;30,39,24,26,24,19;37-0.44-0.61;3;0
21;74;74;23,15,8,34,44,41;12,14,17,24,31,19;128-0.45-0.64;3;0
22;65;84;18,33,33,7,22,42;1,38,14,42,28,16;184-0.42-0.61;4;1
23;102;218;20,32,22,3,28,31;8,35,39,18,48,18;55-0.62-0.65;6;1
24;76;77;38,30,17,24,23,46;48,4,27,4,41,1;84-0.43-0.62;4;1
25;89;69;42,47,31,5,39,40;22,40,17,5,29,1;72-0.44-0.61;4;1
26;69;94;9,43,40,16,11,39;45,17,20,19,10,41;83-0.44-0.62;4;1
27;60;83;28,20,10,7,40,32;13,25,40,29,15,8;175-0.44-0.64;4;1
28;57;109;40,8,49,22,2,20;5,49,49,38,24,9;133-0.41-0.63;4;1
29;42;128;39,19,5,5,22,7;11,32,33,13,30,30;120-0.44-0.86;5;0
30;57;114;39,28,6,16,3,41;27,11,29,38,15,7;108-0.43-0.9;5;0
31;66;55;41,25,6,16,35,40;23,9,3,16,3,10;138-0.41-0.87;5;0
32;68;136;20,44,12,41,11,38;28,31,26,31,19,24;21-0.41-0.86;5;0
33;80;130;44,22,23,32,45,17;32,42,10,10,30,23;163-0.44-0.89;5;0
34;73;135;38,40,7,45,10,34;34,49,8,29,2,29;200-0.42-0.9;5;0
35;50;161;6,21,3,25,45,17;7,35,46,38,23,32;167-0.43-0.89;5;0
36;73;123;35,48,17,34,29,16;20,39,24,26,21,12;148-0.41-0.87;5;0
37;56;178;6,2,38,37,11,32;42,44,22,15,31,44;29-0.45-0.9;5;0
38;47;115;2,23,24,12,41,14;48,38,27,5,2,13;35-0.41-0.87;5;0
39;70;121;12,39,3,33,40,30;21,2,22,22,24,49;99-0.45-0.87;5;0
40;67;137;31,38,34,9,33,5;48,29,25,28,29,1;238-0.45-0.86;5;0
41;65;135;19,38,28,4,37,31;12,35,31,16,38,26;94-0.42-0.86;5;0
42;76;118;49,39,4,45,22,23;13,36,25,23,3,38;145-0.42-0.86;5;0
43;52;66;14,35,6,26,26,15;40,26,24,43,25,13;129-0.43-0.39;6;1
44;49;69;10,34,12,4,26,29;9,40,15,42,37,31;242-0.43-0.4;6;1
45;61;49;38,18,22,44,10,18;14,34,24,16,22,13;195-0.41-0.4;6;1
46;95;80;38,44,29,23,39,39;44,33,40,45,13,38;249-0.45-0.38;6;1
47;96;56;46,47,30,48,36,23;38,21,39,2,38,16;248-0.42-0.37;6;1
48;91;69;27,27,43,29,44,33;35,29,15,38,29,47;112-0.45-0.36;6;1
49;56;52;12,15,24,36,5,36;24,42,12,22,34,9;218-0.44-0.37;6;1
50;54;65;46,1,32,5,35,5;8,33,16,43,30,39;2-0.44-0.39;6;1
51;70;47;40,17,21,26,24,28;22,13,7,40,24,19;87-0.45-0.38;6;1
52;47;67;10,28,9,21,9,29;35,32,41,11,32,22;127-0.45-0.39;6;1
53;76;60;25,28,16,36,48,37;26,28,27,48,29,9;224-0.4-0.36;6;1
54;20;76;9,18,3,1,2,15;26,31,25,27,41,45;101-0.42-0.39;6;1
55;54;75;5,40,22,22,31,3;48,19,43,28,41,30;105-0.44-0.36;6;1
56;28;36;2,5,2,34,20,3;24,3,30,33,1,8;188-0.43-0.37;6;1
